Location,County,Median.HH.Income.2013,X..Ag.Jobs,X..manu.jobs,X..govt.jobs,X.65.2010,X.18.2010,X..poverty,X..white,Region
Alcona,"michigan,alcona",36334,4.5,14.9,6.4,31.4,14.6,16.4,97.7,3
Alger,"michigan,alger",38821,3.6,9.4,11.3,20.6,17.1,15.8,85.5,1
Allegan,"michigan,allegan",55274,3.9,24.9,2.6,13,26.2,13.3,95.2,4
Alpena,"michigan,alpena",38784,3.5,9.9,3.5,19.5,20.9,17.9,97.2,3
Antrim,"michigan,antrim",46890,3.8,13.9,4.8,22.1,21.1,14,96.9,2
Arenac,"michigan,arenac",38201,5,15.7,5.1,20.3,20.1,18.2,96.6,5
Baraga,"michigan,baraga",40402,4.4,16.3,10.4,17.3,20.1,16.6,73.6,1
Barry,"michigan,barry",51040,2.7,23.4,2.7,14.6,24.4,11.2,97.1,4
Bay,"michigan,bay",42305,1.1,14,3.5,16.2,22.2,16.9,94.9,5
Benzie,"michigan,benzie",43145,2.7,8.7,5.8,20.6,21,13.1,96,2
Berrien,"michigan,berrien",44291,1.8,18.8,2.7,16.3,23.4,16.9,79.7,8
Branch,"michigan,branch",43947,4.9,23.9,4.4,14.7,23.9,16.9,95.2,8
Calhoun,"michigan,calhoun",44343,1.4,20.9,5.1,14.8,24.2,18.7,83,8
Cass,"michigan,cass",42875,2.3,25.4,2.9,16,23.4,17.2,89.6,8
Charlevoix,"michigan,charlevoix",45629,1.7,18,3.8,18.6,22,14.9,95.6,2
Cheboygan,"michigan,cheboygan",37949,2.3,8,4.6,21.5,20.4,18.7,93.2,3
Chippewa,"michigan,chippewa",45416,1.6,5.1,13.5,14.6,20.1,16.6,71.6,1
Clare,"michigan,clare",33605,3.2,12,4.6,19.9,20.9,24.1,96.6,5
Clinton,"michigan,clinton",61733,3,10.5,9.1,12.9,24.7,9.8,94.2,7
Crawford,"michigan,crawford",37627,2.2,13.2,7.3,20.8,19.9,17.6,96.7,3
Delta,"michigan,delta",41217,2.9,16.1,4.2,19.1,20.9,16.1,94.6,1
Dickinson,"michigan,dickinson",43290,1.2,17.8,3.3,19,21.4,15.3,96.9,1
Eaton,"michigan,eaton",53764,0.9,14.5,11.6,14,23.3,11.5,88.1,7
Emmet,"michigan,emmet",48399,0.8,8.3,3.3,16.6,22.6,11.3,92.7,2
Genesee,"michigan,genesee",41393,0.5,15.1,3.6,13.7,25,21.7,75.2,6
Gladwin,"michigan,gladwin",35049,3.7,17.4,4,22.8,20.1,21,97.7,5
Gogebic,"michigan,gogebic",33679,3.5,11.8,7.4,21.4,16.9,23,90.7,1
Grand Traverse,"michigan,grand traverse",50755,2.5,9.1,4,15,22.1,11.6,94.9,2
